idx,start,stop,text,speaker,strt_Frm,end_Frm
21,"00:03:29,051","00:03:32,257",I hear they might promote Bryukhanov. ,FOMIN,5011,5083
22,"00:03:32,259","00:03:36,341",This little problem we have with the safety test... ,FOMIN,5083,5179
23,"00:03:36,343","00:03:40,174","if it's completed successfully, ",FOMIN,5179,5275
24,"00:03:40,176","00:03:44,007","yes, I think promotion's very likely. ",FOMIN,5275,5371
25,"00:03:44,009","00:03:46,176","Who knows, maybe Moscow. ",FOMIN,5371,5419
26,"00:03:48,009","00:03:50,466","Naturally, they'll put me in charge once he's gone, ",FOMIN,5466,5514
27,"00:03:50,468","00:03:53,509",and then I'll need someone to take my old job. ,FOMIN,5514,5586
28,"00:03:55,301","00:03:57,593",I could pick Sitnikov. ,FOMIN,5634,5682
29,"00:04:06,301","00:04:08,468",I would like to be considered. ,DYATLOV,5898,5946
30,"00:04:11,593","00:04:13,176",I'll keep that in mind. ,FOMIN,6018,6066
31,"00:04:15,009","00:04:16,633","Viktor Petrovich, ",FOMIN,6114,6138
32,"00:04:16,635","00:04:18,965",preparations for the test have gone smoothly. ,FOMIN,6138,6186
33,"00:04:18,967","00:04:22,299","Comrade Dyatlov's been working per my instructions, ",FOMIN,6186,6282
34,"00:04:22,301","00:04:26,633",and Reactor 4 output's been reduced to 1600 megawatts. ,FOMIN,6282,6378
35,"00:04:26,635","00:04:30,337","With your approval, we're ready to continue lowering power to... ",FOMIN,6378,6474
36,"00:04:30,340","00:04:32,009",We have to wait. ,BRYUKHANOV,6474,6522
37,"00:04:33,092","00:04:34,507","Is, uh...? ",LEGASOV,6545,6569
38,"00:04:34,509","00:04:37,507","Are you going to ask me if there's a problem, Nikolai? ",BRYUKHANOV,6569,6641
39,"00:04:37,509","00:04:39,841",You can't read a fucking face? ,BRYUKHANOV,6641,6689
40,"00:04:39,843","00:04:42,466","Three years, I've tried to finish this test. ",BRYUKHANOV,6689,6761
41,"00:04:42,468","00:04:44,009",Three years. ,BRYUKHANOV,6761,6809
42,"00:04:50,843","00:04:53,174",I've just had a call from the grid controller in Kiev. ,BRYUKHANOV,6953,7025
43,"00:04:53,176","00:04:55,507","He says we can't lower power any further, ",BRYUKHANOV,7025,7073
44,"00:04:55,509","00:04:56,758",not for another ten hours. ,BRYUKHANOV,7073,7097
